SubNo,Group(1=OptHighReward;2=OptLowReward),Block_trial,Block,VarDist_cond,Run_number,Targ1_position,Targ2_position,Red_targ_digit,Blue_targ_digit,Response,Targ_Choice,Acc,OutcomeCond(0=inaccurate;1=lowReward;2=highReward),OutcomeValue,Points,RT,Optimal_Choice,Repeat_Switch,Original_SubNo
1,1,1,1,1,1,28,46,3,2,3,1,1,1.0,0.45,0.45,2.608,0,,1
1,1,2,1,1,2,33,19,3,4,3,1,1,1.0,0.3,0.75,1.77,0,1.0,1
1,1,3,1,2,1,28,41,4,2,4,1,1,2.0,0.56,1.31,1.373,1,1.0,1
1,1,4,1,2,2,9,30,2,3,3,2,1,1.0,0.53,1.84,1.04,0,2.0,1
1,1,5,1,1,1,14,4,4,5,4,1,1,1.0,0.36,2.2,2.46,0,2.0,1
1,1,6,1,1,2,47,37,5,3,3,2,1,2.0,1.06,3.26,2.757,1,2.0,1
1,1,7,1,1,3,46,39,4,2,4,1,1,1.0,0.64,3.9,2.39,0,2.0,1
1,1,9,1,1,5,13,36,2,3,2,1,1,1.0,0.5,4.4,1.537,0,,1
1,1,10,1,2,1,36,3,3,2,3,1,1,2.0,0.65,5.05,2.753,1,1.0,1
1,1,11,1,1,1,9,19,3,2,3,1,1,1.0,0.52,5.57,3.232,0,1.0,1
1,1,12,1,1,2,51,43,3,5,3,1,1,1.0,0.48,6.05,4.008,0,1.0,1
1,1,13,1,1,3,51,16,4,5,4,1,1,1.0,0.59,6.64,0.945,0,1.0,1
1,1,15,1,1,5,16,25,2,5,2,1,1,1.0,0.43,7.07,9.65,0,,1
1,1,17,1,2,1,45,47,5,4,5,1,1,2.0,1.53,8.6,3.881,1,,1
1,1,18,1,2,2,52,17,3,4,4,2,1,1.0,0.48,9.08,3.159,0,2.0,1
1,1,19,1,2,3,52,45,2,4,4,2,1,1.0,0.51,9.59,2.998,0,1.0,1
1,1,20,1,2,4,21,24,2,4,4,2,1,1.0,0.63,10.22,1.447,0,1.0,1
1,1,21,1,2,5,2,48,2,3,3,2,1,1.0,0.51,10.73,5.648,0,1.0,1
1,1,22,1,2,6,26,42,5,3,3,2,1,1.0,0.49,11.22,5.162,0,1.0,1
1,1,23,1,1,1,8,6,5,2,5,1,1,1.0,0.4,11.62,3.464,0,2.0,1
1,1,24,1,1,2,25,28,4,3,4,1,1,1.0,0.53,12.15,1.27,0,1.0,1
1,1,25,1,1,3,36,11,2,3,3,2,1,2.0,0.84,12.99,6.529,1,2.0,1
1,1,26,1,1,4,33,21,5,4,4,2,1,2.0,1.27,14.26,2.638,1,1.0,1
1,1,27,1,2,1,15,12,5,3,3,2,1,1.0,0.42,14.68,2.537,0,1.0,1
1,1,29,1,2,3,9,21,3,4,4,2,1,1.0,0.6,15.28,1.752,0,,1
1,1,30,1,2,4,23,54,2,5,5,2,1,1.0,0.65,15.93,3.531,0,1.0,1
1,1,31,1,2,5,28,36,4,5,5,2,1,1.0,0.31,16.24,4.752,0,1.0,1
1,1,32,1,1,1,27,4,2,4,2,1,1,1.0,0.33,16.57,3.07,0,2.0,1
1,1,33,1,1,2,4,31,3,5,3,1,1,1.0,0.57,17.14,15.778,0,1.0,1
1,1,34,1,1,3,26,7,3,5,5,2,1,2.0,0.31,17.45,2.862,1,2.0,1
1,1,35,1,2,1,21,33,4,3,4,1,1,2.0,0.83,18.28,11.04,1,2.0,1
1,1,36,1,2,2,47,49,2,5,2,1,1,2.0,0.88,19.16,2.257,1,1.0,1
1,1,37,1,2,3,39,1,5,3,5,1,1,2.0,0.84,20.0,2.568,1,1.0,1
1,1,38,1,2,4,39,49,3,4,4,2,1,1.0,0.65,20.65,8.017,0,2.0,1
1,1,39,1,1,1,1,52,4,5,5,2,1,2.0,0.82,21.47,5.122,1,1.0,1
1,1,40,1,2,1,50,16,2,4,4,2,1,1.0,0.64,22.11,3.104,0,1.0,1
1,1,41,1,2,2,12,18,4,3,3,2,1,1.0,0.36,22.47,3.18,0,1.0,1
1,1,42,1,2,3,29,20,3,4,4,2,1,1.0,0.5,22.97,2.131,0,1.0,1
1,1,43,1,1,1,35,32,5,4,5,1,1,1.0,0.48,23.45,5.123,0,2.0,1
1,1,44,1,2,1,31,5,5,2,2,2,1,1.0,0.31,23.76,6.095,0,2.0,1
1,1,45,1,2,2,29,5,2,5,5,2,1,1.0,0.53,24.29,2.284,0,1.0,1
1,1,46,1,2,3,54,24,4,5,4,1,1,2.0,0.0,24.29,5.227,1,2.0,1
1,1,47,1,2,4,17,2,3,4,4,2,1,1.0,0.67,24.96,6.327,0,2.0,1
1,1,48,1,2,5,1,53,3,2,2,2,1,1.0,0.41,25.37,5.216,0,1.0,1
1,1,49,1,1,1,28,2,5,3,3,2,1,2.0,0.75,26.12,4.642,1,1.0,1
1,1,50,1,1,2,24,17,4,2,2,2,1,2.0,0.6,26.72,3.08,1,1.0,1
1,1,51,1,1,3,21,49,5,2,2,2,1,2.0,0.07,26.79,1.544,1,1.0,1
1,1,52,1,1,4,16,28,4,5,4,1,1,1.0,0.24,27.03,3.904,0,2.0,1
1,1,53,1,2,1,38,13,2,3,3,2,1,1.0,0.49,27.52,4.12,0,2.0,1
1,1,54,1,2,2,44,14,5,4,4,2,1,1.0,0.38,27.9,1.24,0,1.0,1
1,1,55,1,2,3,50,15,5,4,4,2,1,1.0,0.57,28.47,2.271,0,1.0,1
1,1,56,1,1,1,24,32,5,4,5,1,1,1.0,0.56,29.03,3.367,0,2.0,1
1,1,57,1,1,2,49,29,2,4,2,1,1,1.0,0.7,29.73,3.968,0,1.0,1
1,1,58,1,1,3,39,19,3,2,3,1,1,1.0,0.57,30.3,3.776,0,1.0,1
1,1,59,1,1,4,19,35,3,5,3,1,1,1.0,0.42,30.72,7.049,0,1.0,1
1,1,60,1,1,5,52,18,2,4,2,1,1,1.0,0.54,31.26,4.478,0,1.0,1
1,1,61,1,2,1,49,42,2,4,2,1,1,2.0,0.02,31.28,1.757,1,1.0,1
1,1,62,1,2,2,33,30,4,5,5,2,1,1.0,0.5,31.78,7.255,0,2.0,1
1,1,64,1,1,2,5,28,5,2,5,1,1,1.0,0.5,32.77,3.813,0,1.0,1
1,1,65,1,2,1,35,37,5,3,5,1,1,2.0,0.35,33.12,6.112,1,1.0,1
1,1,66,1,2,2,33,38,4,2,2,2,1,1.0,0.63,33.75,6.823,0,2.0,1
1,1,67,1,2,3,42,47,5,2,2,2,1,1.0,0.28,34.03,1.166,0,1.0,1
1,1,68,1,2,4,28,39,4,3,4,1,1,2.0,0.7,34.73,7.903,1,2.0,1
1,1,69,1,1,1,54,33,4,3,4,1,1,1.0,0.61,35.34,8.864,0,1.0,1
1,1,70,1,1,2,37,36,5,3,5,1,1,1.0,0.59,35.93,3.52,0,1.0,1
